# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2025-10-30 12:55:20 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03451500 FRENCH BROAD RIVER AT ASHEVILLE, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 03451500
#            TS   parameter     Description
#        249448       00400     pH, water, unfiltered, field, standard units
#        249452       00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#        249456       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#        308772       63160     Stream water level elevation above NAVD 1988, in feet
#        350941       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), FINAL
#         90197       00010     Temperature, water, degrees Celsius
#         90198       00060     Discharge, cubic feet per second
#         90199       00065     Gage height, feet
#         90202       00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     >  Actual value is known to be greater than reported value.
# 
agency_cd	site_no	datetime	tz_cd	249448_00400	249448_00400_cd	249452_00300	249452_00300_cd	249456_00095	249456_00095_cd	308772_63160	308772_63160_cd	350941_63680	350941_63680_cd	90197_00010	90197_00010_cd	90198_00060	90198_00060_cd	90199_00065	90199_00065_cd	90202_00045	90202_00045_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	03451500	2024-09-20 00:00	EDT	7.2	A	8.0	A	52	A	1951.60	A	16.4	P	20.9	A	1140	A	1.67	A	0.00	A
USGS	03451500	2024-09-20 00:15	EDT	7.2	A	8.0	A	51	A	1951.60	A	17.6	P	20.9	A	1140	A	1.67	A	0.00	A
USGS	03451500	2024-09-20 00:30	EDT	7.2	A	8.0	A	51	A	1951.60	A	16.4	P	20.9	A	1140	A	1.67	A	0.00	A
USGS	03451500	2024-09-20 00:45	EDT	7.2	A	8.0	A	51	A	1951.59	A	17.0	P	20.9	A	1130	A	1.66	A	0.00	A
USGS	03451500	2024-09-20 01:00	EDT	7.2	A	8.0	A	51	A	1951.59	A	16.2	P	20.9	A	1130	A	1.66	A	0.00	A
USGS	03451500	2024-09-20 01:15	EDT	7.2	A	7.9	A	51	A	1951.59	A	15.8	P	20.9	A	1130	A	1.66	A	0.00	A
USGS	03451500	2024-09-20 01:30	EDT	7.2	A	7.9	A	51	A	1951.60	A	15.3	P	20.9	A	1140	A	1.67	A	0.00	A
USGS	03451500	2024-09-20 01:45	EDT	7.2	A	7.9	A	51	A	1951.60	A	15.2	P	20.9	A	1140	A	1.67	A	0.00	A
USGS	03451500	2024-09-20 02:00	EDT	7.2	A	7.9	A	51	A	1951.61	A	16.6	P	20.9	A	1150	A	1.68	A	0.00	A
USGS	03451500	2024-09-20 02:15	EDT	7.2	A	7.9	A	51	A	1951.61	A	15.7	P	20.8	A	1150	A	1.68	A	0.00	A
USGS	03451500	2024-09-20 02:30	EDT	7.2	A	7.9	A	51	A	1951.62	A	15.6	P	20.8	A	1160	A	1.69	A	0.00	A
USGS	03451500	2024-09-20 02:45	EDT	7.2	A	7.9	A	51	A	1951.62	A	14.9	P	20.8	A	1160	A	1.69	A	0.00	A
USGS	03451500	2024-09-20 03:00	EDT	7.2	A	7.9	A	51	A	1951.62	A	15.5	P	20.8	A	1160	A	1.69	A	0.00	A
USGS	03451500	2024-09-20 03:15	EDT	6.9	A	7.9	A	51	A	1951.62	A	14.8	P	20.8	A	1160	A	1.69	A	0.00	A
USGS	03451500	2024-09-20 03:30	EDT	6.9	A	7.8	A	52	A	1951.62	A	14.5	P	20.7	A	1160	A	1.69	A	0.00	A
USGS	03451500	2024-09-20 03:45	EDT	7.0	A	7.8	A	53	A	1951.62	A	15.5	P	20.7	A	1160	A	1.69	A	0.00	A
USGS	03451500	2024-09-20 04:00	EDT	7.1	A	7.8	A	53	A	1951.61	A	14.9	P	20.6	A	1150	A	1.68	A	0.00	A
USGS	03451500	2024-09-20 04:15	EDT	7.1	A	7.8	A	54	A	1951.61	A	15.4	P	20.5	A	1150	A	1.68	A	0.00	A
USGS	03451500	2024-09-20 04:30	EDT	7.2	A	7.8	A	54	A	1951.60	A	16.4	P	20.5	A	1140	A	1.67	A	0.00	A
USGS	03451500	2024-09-20 04:45	EDT	7.2	A	7.8	A	54	A	1951.60	A	15.9	P	20.4	A	1140	A	1.67	A	0.00	A
USGS	03451500	2024-09-20 05:00	EDT	7.2	A	7.8	A	54	A	1951.60	A	16.6	P	20.4	A	1140	A	1.67	A	0.00	A
