# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2025-10-30 13:58:34 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03479000 WATAUGA RIVER NEAR SUGAR GROVE, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 03479000
#            TS   parameter     Description
#        239343       00045     Precipitation, total, inches
#        242355       00065     Gage height, feet
#        313064       63160     Stream water level elevation above NAVD 1988, in feet
#         90260       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	239343_00045	239343_00045_cd	242355_00065	242355_00065_cd	313064_63160	313064_63160_cd	90260_00060	90260_00060_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	03479000	2024-09-20 00:00	EDT	0.00	A	1.68	A	2609.36	A	75.4	A
USGS	03479000	2024-09-20 00:15	EDT	0.00	A	1.68	A	2609.36	A	75.4	A
USGS	03479000	2024-09-20 00:30	EDT	0.00	A	1.68	A	2609.36	A	75.4	A
USGS	03479000	2024-09-20 00:45	EDT	0.00	A	1.68	A	2609.36	A	75.4	A
USGS	03479000	2024-09-20 01:00	EDT	0.00	A	1.68	A	2609.36	A	75.4	A
USGS	03479000	2024-09-20 01:15	EDT	0.00	A	1.67	A	2609.35	A	73.6	A
USGS	03479000	2024-09-20 01:30	EDT	0.00	A	1.67	A	2609.35	A	73.6	A
USGS	03479000	2024-09-20 01:45	EDT	0.00	A	1.67	A	2609.35	A	73.6	A
USGS	03479000	2024-09-20 02:00	EDT	0.00	A	1.67	A	2609.35	A	73.6	A
USGS	03479000	2024-09-20 02:15	EDT	0.00	A	1.66	A	2609.34	A	71.8	A
USGS	03479000	2024-09-20 02:30	EDT	0.00	A	1.66	A	2609.34	A	71.8	A
USGS	03479000	2024-09-20 02:45	EDT	0.00	A	1.66	A	2609.34	A	71.8	A
USGS	03479000	2024-09-20 03:00	EDT	0.00	A	1.66	A	2609.34	A	71.8	A
USGS	03479000	2024-09-20 03:15	EDT	0.00	A	1.66	A	2609.34	A	71.8	A
USGS	03479000	2024-09-20 03:30	EDT	0.00	A	1.65	A	2609.33	A	70.0	A
USGS	03479000	2024-09-20 03:45	EDT	0.00	A	1.65	A	2609.33	A	70.0	A
USGS	03479000	2024-09-20 04:00	EDT	0.00	A	1.65	A	2609.33	A	70.0	A
USGS	03479000	2024-09-20 04:15	EDT	0.00	A	1.65	A	2609.33	A	70.0	A
USGS	03479000	2024-09-20 04:30	EDT	0.00	A	1.65	A	2609.33	A	70.0	A
USGS	03479000	2024-09-20 04:45	EDT	0.00	A	1.64	A	2609.32	A	68.3	A
USGS	03479000	2024-09-20 05:00	EDT	0.00	A	1.64	A	2609.32	A	68.3	A
USGS	03479000	2024-09-20 05:15	EDT	0.00	A	1.64	A	2609.32	A	68.3	A
USGS	03479000	2024-09-20 05:30	EDT	0.00	A	1.64	A	2609.32	A	68.3	A
USGS	03479000	2024-09-20 05:45	EDT	0.00	A	1.64	A	2609.32	A	68.3	A
USGS	03479000	2024-09-20 06:00	EDT	0.00	A	1.64	A	2609.32	A	68.3	A
USGS	03479000	2024-09-20 06:15	EDT	0.00	A	1.63	A	2609.31	A	66.6	A
USGS	03479000	2024-09-20 06:30	EDT	0.00	A	1.63	A	2609.31	A	66.6	A
USGS	03479000	2024-09-20 06:45	EDT	0.00	A	1.63	A	2609.31	A	66.6	A
USGS	03479000	2024-09-20 07:00	EDT	0.00	A	1.63	A	2609.31	A	66.6	A
USGS	03479000	2024-09-20 07:15	EDT	0.00	A	1.63	A	2609.31	A	66.6	A
USGS	03479000	2024-09-20 07:30	EDT	0.00	A	1.63	A	2609.31	A	66.6	A
USGS	03479000	2024-09-20 07:45	EDT	0.00	A	1.63	A	2609.31	A	66.6	A
USGS	03479000	2024-09-20 08:00	EDT	0.00	A	1.62	A	2609.30	A	64.9	A
USGS	03479000	2024-09-20 08:15	EDT	0.00	A	1.62	A	2609.30	A	64.9	A
USGS	03479000	2024-09-20 08:30	EDT	0.00	A	1.62	A	2609.30	A	64.9	A
USGS	03479000	2024-09-20 08:45	EDT	0.00	A	1.62	A	2609.30	A	64.9	A
USGS	03479000	2024-09-20 09:00	EDT	0.00	A	1.62	A	2609.30	A	64.9	A
USGS	03479000	2024-09-20 09:15	EDT	0.00	A	1.62	A	2609.30	A	64.9	A
USGS	03479000	2024-09-20 09:30	EDT	0.00	A	1.61	A	2609.29	A	63.3	A
USGS	03479000	2024-09-20 09:45	EDT	0.00	A	1.61	A	2609.29	A	63.3	A
USGS	03479000	2024-09-20 10:00	EDT	0.00	A	1.61	A	2609.29	A	63.3	A
USGS	03479000	2024-09-20 10:15	EDT	0.00	A	1.61	A	2609.29	A	63.3	A
USGS	03479000	2024-09-20 10:30	EDT	0.00	A	1.61	A	2609.29	A	63.3	A
USGS	03479000	2024-09-20 10:45	EDT	0.00	A	1.61	A	2609.29	A	63.3	A
USGS	03479000	2024-09-20 11:00	EDT	0.00	A	1.60	A	2609.28	A	61.7	A
USGS	03479000	2024-09-20 11:15	EDT	0.00	A	1.60	A	2609.28	A	61.7	A
USGS	03479000	2024-09-20 11:30	EDT	0.00	A	1.60	A	2609.28	A	61.7	A
USGS	03479000	2024-09-20 11:45	EDT	0.00	A	1.60	A	2609.28	A	61.7	A
USGS	03479000	2024-09-20 12:00	EDT	0.00	A	1.60	A	2609.28	A	61.7	A
USGS	03479000	2024-09-20 12:15	EDT	0.00	A	1.60	A	2609.28	A	61.7	A
USGS	03479000	2024-09-20 12:30	EDT	0.00	A	1.60	A	2609.28	A	61.7	A
USGS	03479000	2024-09-20 12:45	EDT	0.00	A	1.59	A	2609.27	A	60.1	A
USGS	03479000	2024-09-20 13:00	EDT	0.00	A	1.59	A	2609.27	A	60.1	A
USGS	03479000	2024-09-20 13:15	EDT	0.00	A	1.59	A	2609.27	A	60.1	A
USGS	03479000	2024-09-20 13:30	EDT	0.00	A	1.59	A	2609.27	A	60.1	A
USGS	03479000	2024-09-20 13:45	EDT	0.00	A	1.59	A	2609.27	A	60.1	A
USGS	03479000	2024-09-20 14:00	EDT	0.00	A	1.58	A	2609.26	A	58.5	A
USGS	03479000	2024-09-20 14:15	EDT	0.00	A	1.58	A	2609.26	A	58.5	A
USGS	03479000	2024-09-20 14:30	EDT	0.00	A	1.58	A	2609.26	A	58.5	A
USGS	03479000	2024-09-20 14:45	EDT	0.00	A	1.58	A	2609.26	A	58.5	A
USGS	03479000	2024-09-20 15:00	EDT	0.00	A	1.58	A	2609.26	A	58.5	A
USGS	03479000	2024-09-20 15:15	EDT	0.00	A	1.58	A	2609.26	A	58.5	A
USGS	03479000	2024-09-20 15:30	EDT	0.00	A	1.57	A	2609.25	A	57.0	A
USGS	03479000	2024-09-20 15:45	EDT	0.00	A	1.57	A	2609.25	A	57.0	A
USGS	03479000	2024-09-20 16:00	EDT	0.00	A	1.57	A	2609.25	A	57.0	A
USGS	03479000	2024-09-20 16:15	EDT	0.00	A	1.57	A	2609.25	A	57.0	A
USGS	03479000	2024-09-20 16:30	EDT	0.00	A	1.57	A	2609.25	A	57.0	A
USGS	03479000	2024-09-20 16:45	EDT	0.00	A	1.57	A	2609.25	A	57.0	A
USGS	03479000	2024-09-20 17:00	EDT	0.00	A	1.57	A	2609.25	A	57.0	A
USGS	03479000	2024-09-20 17:15	EDT	0.00	A	1.56	A	2609.24	A	55.5	A
USGS	03479000	2024-09-20 17:30	EDT	0.00	A	1.56	A	2609.24	A	55.5	A
USGS	03479000	2024-09-20 17:45	EDT	0.00	A	1.56	A	2609.24	A	55.5	A
USGS	03479000	2024-09-20 18:00	EDT	0.00	A	1.56	A	2609.24	A	55.5	A
USGS	03479000	2024-09-20 18:15	EDT	0.00	A	1.56	A	2609.24	A	55.5	A
USGS	03479000	2024-09-20 18:30	EDT	0.00	A	1.56	A	2609.24	A	55.5	A
USGS	03479000	2024-09-20 18:45	EDT	0.00	A	1.56	A	2609.24	A	55.5	A
USGS	03479000	2024-09-20 19:00	EDT	0.00	A	1.56	A	2609.24	A	55.5	A
USGS	03479000	2024-09-20 19:15	EDT	0.00	A	1.56	A	2609.24	A	55.5	A
